WONUM,TASKDESC,TASKDESC - CATEGORY,WOC.TEXTS
2231,DCP-2 DSP-7 UNABLE TO START,ELEC,"30/03/2014 MT- DCP-2 DSP-7 UNABLE TO STARTED,GO ONSITE AND CHECKED GROUNG SWITCH UNLOCK ALARM LIGHT COME OUT,TRY TO RESET THE ALARM BUT ALARM STILL REMAIN.DCIS SHOW DRIVE FAULT ALARM.

31/3/14 - AG - FOUND THE EARTH SWITCH FAULTY, WEDNESDAY 2ND APRIL, ABB SHALL CHANGE THE EQUIPMENT.

2/03/14 - AG - ABB CHANGE THE EARTH SWITCH HANDLE AND RUN BACK THE MV DRIVE"
2232,ASQ 1 PODIUM PRI PRESSURE TRANSMITTER IS INACCURATE ( R12-PT-1110-2  ),I&C,"DATE 31.MAR.14 CKM ASQ 1 PODIUM PRI PRESSURE TRANSMITTER IS INACCURATE ( R12-PT-1110-2  )
                   NEED TO VERIFY.

03/04/2014 DBR ,CYW & MMK : WE CHECK AND FOUND THAT PRESSUR TRANSMITTER ZERO VALUE IS DRIFT UNTIL 64 KPA .
                            WE CORRECT ZERO DRIFT IN  PRESSURE TRANSMITER AND THEN PT MEASURES THE ACTUAL VALUE AS SHOWN BY THE LOCAL GAUGE
                            WE MOINTER THE PT FOR 4 HOURS FORM DCIS AND THERE NO IS NO INACCURATE READING.
                            PT ARE BACK TO NORMAL.
                                  
                                 ACTUAL PRESS      BEFORE CORRECTION     AFTER CORRECTION 
                                    0 Kpa               64 Kpa                 0 Kpa
                                  272 Kpa (PG)         333 KPA               272 Kpa"
2233,DCP1 BC1 ANNUAL SHUTDOWN,TASK,"ANNUAL MAINTENANCE WORK BASED ON TASK LIST PROVIDED.
           - DRAIN OUT CONDENSER WATER BOX - OPERATION TEAM
31/03/2014 - RECOVER BRINE TO EXTERNAL TANK - MAINTENANCE TEAM
  TO       - OPEN BOTH EVAP. & COND. WATER BOX, JOIN INSPECTION - DAITO 
05/04/2014 - CLEAN BOTH COOLING, BRINE & CHILLED WATER STRAINER - OPERATION TEAM
           - REPLACED REFRIGERANT FILTER/DRYER - DAITO
           - REMOVE BOTH COND. & EVAP. SAFETY VALVES.SEND FOR CALIBRATION - DAITO
           - PUMP/MOTOR SERVICE & CLEANING,GREASING, LUBICATION ON MECHANICAL - MAINTENANCE TEAM
           - ELECTRICAL SERVICE ON ALL RELATED PUMPS' VSD AND AUTOTRANS PANELS - MAINTENANCCE TEAM
           - ALL RELATED PUMPS' MOTOR TERMINAL CHECK & SERVICE ON ELECTRICAL & MEGGER STATOR COILS - MAINTENANCE TEAM
           - REPLACED OIL FILTER FOR COMPLESSORS - DAITO
           - COMPRESSOR OIL REPLACEMENT:
             COMPRESSOR 1
             DRAIN OUT : 90LITRES
             TOP UP : 90LITRES
           - COMPRESSOR 2
             DRAIN OUT : 90LITRES
             TOP UP : 90LITRES
           - COMPRESSOR 3
             DRAIN OUT : 100LITRES
             TOP UP : 100LITRES
           - OIL PORT
             DRAIN OUT : 60LITRES
             TOP UP : 60LITRES
             TOTAL 17 PAILS
           - DERUST BOTH COND. & EVAP. WATER BOX & PAINTING - DAITO
           - OPEN COMPRESSORS' MOTOR TERMINAL COVERS FOR INSPECTION - DAITO
           - ELECTRICAL SERVICES & MEGGER TEST ON COMPRESSORS - MAINTENANCE TEAM
           - VERIFY OF LOCAL PG & TG - MAINTENANCE TEAM
           - VERIFY OF REFRIGERANT GAUGE & PROTECTIVE RELAY DEVICES - DAITO  
           - PAINTING ON BOTH COND. & EVAP. WATER BOX - DAITO 
           - VERIFY ALL RELATED CHILLED WATER, BRINE & COOLING WATER SUPPLY & 
             RETURN RTD & MOTORISED VALVES FUNCTIONALITY - MAINTENANCE TEAM
           - REINSTALL SAFETY VALVE ON BOTH COND. & EVAP. - DAITO 
           - CONTIUNE PAINTING ON BOTH COND. & EVAP. WATER BOX- DAITO 
           - REPLACE BOTH COND. & EVAP. WATER BOX GASKET- DAITO 
           - COVER BACK WATER BOX AFTER MR.TEO INSPECTION - DAITO 
           - TRANSFER BRINE BACK TO EVAPORATOR WATER BOX - MAINTENANCE TEAM
           - OPEN ALL BRINE & COOLING WATER VALVE & PURGE AIR ON INSTRUMENT - OPERATION TEAM
           - TURN ON ALL ELECTRICAL BREAKER, RELEASE E-STOP - MAINTENANCE TEAM
           - HANDOVER BACK TO OPERATION FOR PRE-COMMISSIONING & STARTUP."
2234,DCP1 BC2 ANNUAL SHUTDOWN,TASK,"ANNUAL MAINTENANCE WORK BASED ON TASK LIST PROVIDED.
           - DRAIN OUT CONDENSER WATER BOX - OPERATION TEAM
07/04/2014 - RECOVER BRINE TO EXTERNAL TANK - MAINTENANCE TEAM
  TO       - OPEN BOTH EVAP. & COND. WATER BOX, JOIN INSPECTION - DAITO 
12/04/2014 - CLEAN BOTH COOLING, BRINE & CHILLED WATER STRAINER - OPERATION TEAM
           - REPLACED REFRIGERANT FILTER/DRYER - DAITO
           - REMOVE BOTH COND. & EVAP. SAFETY VALVES.SEND FOR CALIBRATION - DAITO
           - PUMP/MOTOR SERVICE & CLEANING,GREASING, LUBICATION ON MECHANICAL - MAINTENANCE TEAM
           - ELECTRICAL SERVICE ON ALL RELATED PUMPS' VSD AND AUTOTRANS PANELS - MAINTENANCCE TEAM
           - ALL RELATED PUMPS' MOTOR TERMINAL CHECK & SERVICE ON ELECTRICAL & MEGGER STATOR COILS - MAINTENANCE TEAM
           - REPLACED OIL FILTER FOR COMPLESSORS - DAITO
           - COMPRESSOR OIL REPLACEMENT:
             COMPRESSOR 1
             DRAIN OUT : 100LITRES
             TOP UP : 100LITRES
           - COMPRESSOR 2
             DRAIN OUT : 100LITRES
             TOP UP : 100LITRES
           - COMPRESSOR 3
             DRAIN OUT : 100LITRES
             TOP UP : 100LITRES
           - OIL PORT 
             DRAIN OUT : 60LITRES
             TOP UP : 60LITRES
             TOTAL 18 PAILS                          
           - DERUST BOTH COND. & EVAP. WATER BOX & PAINTING - DAITO
           - OPEN COMPRESSORS' MOTOR TERMINAL COVERS FOR INSPECTION - DAITO
           - ELECTRICAL SERVICES & MEGGER TEST ON COMPRESSORS - MAINTENANCE TEAM
           - VERIFY OF LOCAL PG & TG - MAINTENANCE TEAM
           - VERIFY OF REFRIGERANT GAUGE & PROTECTIVE RELAY DEVICES - DAITO  
           - PAINTING ON BOTH COND. & EVAP. WATER BOX - DAITO 
           - VERIFY ALL RELATED CHILLED WATER, BRINE & COOLING WATER SUPPLY & 
             RETURN RTD & MOTORISED VALVES FUNCTIONALITY - MAINTENANCE TEAM
           - REINSTALL SAFETY VALVE ON BOTH COND. & EVAP. - DAITO 
           - CONTIUNE PAINTING ON BOTH COND. & EVAP. WATER BOX- DAITO 
           - REPLACE BOTH COND. & EVAP. WATER BOX GASKET- DAITO 
           - COVER BACK WATER BOX AFTER MR.TEO INSPECTION - DAITO 
           - TRANSFER BRINE BACK TO EVAPORATOR WATER BOX - MAINTENANCE TEAM
           - OPEN ALL BRINE & COOLING WATER VALVE & PURGE AIR ON INSTRUMENT - OPERATION TEAM
           - TURN ON ALL ELECTRICAL BREAKER, RELEASE E-STOP - MAINTENANCE TEAM
           - HANDOVER BACK TO OPERATION FOR PRE-COMMISSIONING & STARTUP."
2235,DCP1 BC3 ANNUAL SHUTDOWN,TASK,"ANNUAL MAINTENANCE WORK BASED ON TASK LIST PROVIDED.
           - DRAIN OUT CONDENSER WATER BOX - OPERATION TEAM
07/04/2014 - RECOVER BRINE TO EXTERNAL TANK - MAINTENANCE TEAM
  TO       - OPEN BOTH EVAP. & COND. WATER BOX, JOIN INSPECTION - DAITO 
12/04/2014 - CLEAN BOTH COOLING, BRINE & CHILLED WATER STRAINER - OPERATION TEAM
           - REPLACED REFRIGERANT FILTER/DRYER - DAITO
           - REMOVE BOTH COND. & EVAP. SAFETY VALVES.SEND FOR CALIBRATION - DAITO
           - PUMP/MOTOR SERVICE & CLEANING,GREASING, LUBICATION ON MECHANICAL - MAINTENANCE TEAM
           - ELECTRICAL SERVICE ON ALL RELATED PUMPS' VSD AND AUTOTRANS PANELS - MAINTENANCCE TEAM
           - ALL RELATED PUMPS' MOTOR TERMINAL CHECK & SERVICE ON ELECTRICAL & MEGGER STATOR COILS - MAINTENANCE TEAM
           - REPLACED OIL FILTER FOR COMPLESSORS - DAITO
           - COMPRESSOR OIL REPLACEMENT:
             COMPRESSOR 1
             DRAIN OUT : 100LITRES
             TOP UP : 100LITRES
           - COMPRESSOR 2
             DRAIN OUT : 100LITRES
             TOP UP : 100LITRES
           - COMPRESSOR 3
             DRAIN OUT : 100LITRES
             TOP UP : 100LITRES
           - OIL PORT 
             DRAIN OUT : 60LITRES
             TOP UP : 60LITRES
             TOTAL 18 PAILS                          
           - DERUST BOTH COND. & EVAP. WATER BOX & PAINTING - DAITO
           - OPEN COMPRESSORS' MOTOR TERMINAL COVERS FOR INSPECTION - DAITO
           - ELECTRICAL SERVICES & MEGGER TEST ON COMPRESSORS - MAINTENANCE TEAM
           - VERIFY OF LOCAL PG & TG - MAINTENANCE TEAM
           - VERIFY OF REFRIGERANT GAUGE & PROTECTIVE RELAY DEVICES - DAITO  
           - PAINTING ON BOTH COND. & EVAP. WATER BOX - DAITO 
           - VERIFY ALL RELATED CHILLED WATER, BRINE & COOLING WATER SUPPLY & 
             RETURN RTD & MOTORISED VALVES FUNCTIONALITY - MAINTENANCE TEAM
           - REINSTALL SAFETY VALVE ON BOTH COND. & EVAP. - DAITO 
           - CONTIUNE PAINTING ON BOTH COND. & EVAP. WATER BOX- DAITO 
           - REPLACE BOTH COND. & EVAP. WATER BOX GASKET- DAITO 
           - COVER BACK WATER BOX AFTER MR.TEO INSPECTION - DAITO 
           - TRANSFER BRINE BACK TO EVAPORATOR WATER BOX - MAINTENANCE TEAM
           - OPEN ALL BRINE & COOLING WATER VALVE & PURGE AIR ON INSTRUMENT - OPERATION TEAM
           - TURN ON ALL ELECTRICAL BREAKER, RELEASE E-STOP - MAINTENANCE TEAM
           - HANDOVER BACK TO OPERATION FOR PRE-COMMISSIONING & STARTUP."
2236,DCP2 WC1 ANNUAL SHUTDOWN,TASK,"ANNUAL MAINTENANCE WORK BASED ON TASK LIST PROVIDED.
           - DRAIN OUT CONDENSER WATER BOX - OPERATION TEAM
05/05/14   - RECOVER CHILLED WATER TRANSFER TO EXTERNAL TANK - MAINTENANCE TEAM
  TO       - OPEN BOTH EVAP. & COND. WATER BOX, JOIN INSPECTION - DAITO 
10/05/14   - CLEAN BOTH COOLING & CHILLED WATER STRAINER - OPERATION TEAM 
           - REPLACED REFRIGERANT FILTER/DRYER - DAITO
           - REMOVE BOTH COND. & EVAP. SAFETY VALVES.SEND FOR CALIBRATION - DAITO
           - PUMP/MOTOR SERVICE & CLEANING,GREASING, LUBICATION ON MECHANICAL - MAINTENANCE TEAM
           - ELECTRICAL SERVICE ON ALL RELATED PUMPS' VSD AND AUTOTRANS PANELS - MAINTENANCE TEAM
           - WCP & WCDP MOTOR TERMINAL CHECK & SERVICE ON ELECTRICAL & 
             MEGGER STATOR COILS - MAINTENANCE TEAM
           - REPLACED OIL FILTER FOR COMPLESSORS - DAITO
           - DRAIN COMPRESSOR OIL (JOMO FREOL) : 100 LITRES FOR COMPRESSORS 1 & 2
             TOP UP COMPRESSOR OIL (JOMO FREOL)  : 100 LITRES FOR COMPRESSORS 1 & 2 
           - DERUST BOTH COND. & EVAP. WATER BOX & PAINTING - DAITO
           - OPEN COMPRESSORS' MOTOR TERMINAL COVERS FOR INSPECTION - DAITO
           - ELECTRICAL SERVICES & MEGGER TEST ON COMPRESSORS - MAINTENANCE TEAM
           - VERIFY OF LOCAL PG & TG - MAINTENANCE TEAM 
           - VERIFY OF REFRIGERANT GAUGE & PROTECTIVE RELAY DEVICES - DAITO 
           - PAINTING ON BOTH COND. & EVAP. WATER BOX - DAITO
           - VERIFY ALL RELATED CHILLED WATER SUPPLY & RETURN RTD & 
             MOTORISED VALVES FUNCTIONALITY - MAINTENANCE TEAM  
           - REINSTALL SAFETY VALVE ON BOTH COND. & EVAP - DAITO
           - CONTIUNE PAINTING ON BOTH COND. & EVAP. WATER BOX - DAITO
           - REPLACE BOTH COND. & EVAP. WATER BOX GASKET - DAITO
           - COVER BACK WATER BOX AFTER MR.TEO INSPECTION - DAITO
           - TRANSFER CHILLED WATER BACK TO EVAPORATOR WATER BOX - MAINTENANCE TEAM 
           - OPEN ALL CHILLED & COOLING WATER VALVE & PURGE AIR ON INSTRUMENT - OPERATION TEAM
           - TURN ON ALL ELECTRICAL BREAKER, RELEASE E-STOP - MAINTENANCE TEAM
           - HANDOVER BACK TO OPERATION FOR PRE-COMMISSIONING & STARTUP."
2237,DCP2 WC2 ANNUAL SHUTDOWN,TASK,"ANNUAL MAINTENANCE WORK BASED ON TASK LIST PROVIDED.
           - DRAIN OUT CONDENSER WATER BOX - OPERATION TEAM
19/05/14   - RECOVER CHILLED WATER TRANSFER TO EXTERNAL TANK - MAINTENANCE TEAM
  TO       - OPEN BOTH EVAP. & COND. WATER BOX, JOIN INSPECTION - DAITO 
23/05/14   - CLEAN BOTH COOLING & CHILLED WATER STRAINER - OPERATION TEAM 
           - REPLACED REFRIGERANT FILTER/DRYER - DAITO
           - REMOVE BOTH COND. & EVAP. SAFETY VALVES.SEND FOR CALIBRATION - DAITO
           - PUMP/MOTOR SERVICE & CLEANING,GREASING, LUBICATION ON MECHANICAL - MAINTENANCE TEAM
           - ELECTRICAL SERVICE ON ALL RELATED PUMPS' VSD AND AUTOTRANS PANELS - MAINTENANCE TEAM
           - WCP & WCDP MOTOR TERMINAL CHECK & SERVICE ON ELECTRICAL & 
             MEGGER STATOR COILS - MAINTENANCE TEAM
           - REPLACED OIL FILTER FOR COMPLESSORS - DAITO
           - DRAIN COMPRESSOR OIL (JOMO FREOL) : 100 LITRES FOR COMPRESSORS 1 & 2
             TOP UP COMPRESSOR OIL (JOMO FREOL)  : 100 LITRES FOR COMPRESSORS 1 & 2 
           - DERUST BOTH COND. & EVAP. WATER BOX & PAINTING - DAITO
           - OPEN COMPRESSORS' MOTOR TERMINAL COVERS FOR INSPECTION - DAITO
           - ELECTRICAL SERVICES & MEGGER TEST ON COMPRESSORS - MAINTENANCE TEAM
           - VERIFY OF LOCAL PG & TG - MAINTENANCE TEAM 
           - VERIFY OF REFRIGERANT GAUGE & PROTECTIVE RELAY DEVICES - DAITO 
           - PAINTING ON BOTH COND. & EVAP. WATER BOX - DAITO
           - VERIFY ALL RELATED CHILLED WATER SUPPLY & RETURN RTD & 
             MOTORISED VALVES FUNCTIONALITY - MAINTENANCE TEAM  
           - REINSTALL SAFETY VALVE ON BOTH COND. & EVAP - DAITO
           - CONTIUNE PAINTING ON BOTH COND. & EVAP. WATER BOX - DAITO
           - REPLACE BOTH COND. & EVAP. WATER BOX GASKET - DAITO
           - COVER BACK WATER BOX AFTER MR.TEO INSPECTION - DAITO
           - TRANSFER CHILLED WATER BACK TO EVAPORATOR WATER BOX - MAINTENANCE TEAM 
           - OPEN ALL CHILLED & COOLING WATER VALVE & PURGE AIR ON INSTRUMENT - OPERATION TEAM
           - TURN ON ALL ELECTRICAL BREAKER, RELEASE E-STOP - MAINTENANCE TEAM
           - HANDOVER BACK TO OPERATION FOR PRE-COMMISSIONING & STARTUP."
2238,DCP2 WC3 ANNUAL SHUTDOWN,TASK,"ANNUAL MAINTENANCE WORK BASED ON TASK LIST PROVIDED.
           - DRAIN OUT CONDENSER WATER BOX - OPERATION TEAM
02/06/14   - RECOVER CHILLED WATER TRANSFER TO EXTERNAL TANK - MAINTENANCE TEAM
  TO       - OPEN BOTH EVAP. & COND. WATER BOX, JOIN INSPECTION - DAITO 
07/06/14   - CLEAN BOTH COOLING & CHILLED WATER STRAINER - OPERATION TEAM 
           - REPLACED REFRIGERANT FILTER/DRYER - DAITO
           - REMOVE BOTH COND. & EVAP. SAFETY VALVES.SEND FOR CALIBRATION - DAITO
           - PUMP/MOTOR SERVICE & CLEANING,GREASING, LUBICATION ON MECHANICAL - MAINTENANCE TEAM
           - ELECTRICAL SERVICE ON ALL RELATED PUMPS' VSD AND AUTOTRANS PANELS - MAINTENANCE TEAM
           - WCP & WCDP MOTOR TERMINAL CHECK & SERVICE ON ELECTRICAL & 
             MEGGER STATOR COILS - MAINTENANCE TEAM
           - REPLACED OIL FILTER FOR COMPLESSORS - DAITO
           - DRAIN COMPRESSOR OIL (JOMO FREOL) : 100 LITRES FOR COMPRESSORS 1 & 2
             TOP UP COMPRESSOR OIL (JOMO FREOL)  : 100 LITRES FOR COMPRESSORS 1 & 2 
           - DERUST BOTH COND. & EVAP. WATER BOX & PAINTING - DAITO
           - OPEN COMPRESSORS' MOTOR TERMINAL COVERS FOR INSPECTION - DAITO
           - ELECTRICAL SERVICES & MEGGER TEST ON COMPRESSORS - MAINTENANCE TEAM
           - VERIFY OF LOCAL PG & TG - MAINTENANCE TEAM 
           - VERIFY OF REFRIGERANT GAUGE & PROTECTIVE RELAY DEVICES - DAITO 
           - PAINTING ON BOTH COND. & EVAP. WATER BOX - DAITO
           - VERIFY ALL RELATED CHILLED WATER SUPPLY & RETURN RTD & 
             MOTORISED VALVES FUNCTIONALITY - MAINTENANCE TEAM  
           - REINSTALL SAFETY VALVE ON BOTH COND. & EVAP - DAITO
           - CONTIUNE PAINTING ON BOTH COND. & EVAP. WATER BOX - DAITO
           - REPLACE BOTH COND. & EVAP. WATER BOX GASKET - DAITO
           - COVER BACK WATER BOX AFTER MR.TEO INSPECTION - DAITO
           - TRANSFER CHILLED WATER BACK TO EVAPORATOR WATER BOX - MAINTENANCE TEAM 
           - OPEN ALL CHILLED & COOLING WATER VALVE & PURGE AIR ON INSTRUMENT - OPERATION TEAM
           - TURN ON ALL ELECTRICAL BREAKER, RELEASE E-STOP - MAINTENANCE TEAM
           - HANDOVER BACK TO OPERATION FOR PRE-COMMISSIONING & STARTUP."
2239,DCP2 WC4 ANNUAL SHUTDOWN,TASK,"ANNUAL MAINTENANCE WORK BASED ON TASK LIST PROVIDED.
           - DRAIN OUT CONDENSER WATER BOX - OPERATION TEAM
19/05/14   - RECOVER CHILLED WATER TRANSFER TO EXTERNAL TANK - MAINTENANCE TEAM
  TO       - OPEN BOTH EVAP. & COND. WATER BOX, JOIN INSPECTION - DAITO 
23/05/14   - CLEAN BOTH COOLING & CHILLED WATER STRAINER - OPERATION TEAM 
           - REPLACED REFRIGERANT FILTER/DRYER - DAITO
           - REMOVE BOTH COND. & EVAP. SAFETY VALVES.SEND FOR CALIBRATION - DAITO
           - PUMP/MOTOR SERVICE & CLEANING,GREASING, LUBICATION ON MECHANICAL - MAINTENANCE TEAM
           - ELECTRICAL SERVICE ON ALL RELATED PUMPS' VSD AND AUTOTRANS PANELS - MAINTENANCE TEAM
           - WCP & WCDP MOTOR TERMINAL CHECK & SERVICE ON ELECTRICAL & 
             MEGGER STATOR COILS - MAINTENANCE TEAM
           - REPLACED OIL FILTER FOR COMPLESSORS - DAITO
           - DRAIN COMPRESSOR OIL (JOMO FREOL) : 100 LITRES FOR COMPRESSORS 1 & 2
             TOP UP COMPRESSOR OIL (JOMO FREOL)  : 100 LITRES FOR COMPRESSORS 1 & 2 
           - DERUST BOTH COND. & EVAP. WATER BOX & PAINTING - DAITO
           - OPEN COMPRESSORS' MOTOR TERMINAL COVERS FOR INSPECTION - DAITO
           - ELECTRICAL SERVICES & MEGGER TEST ON COMPRESSORS - MAINTENANCE TEAM
           - VERIFY OF LOCAL PG & TG - MAINTENANCE TEAM 
           - VERIFY OF REFRIGERANT GAUGE & PROTECTIVE RELAY DEVICES - DAITO 
           - PAINTING ON BOTH COND. & EVAP. WATER BOX - DAITO
           - VERIFY ALL RELATED CHILLED WATER SUPPLY & RETURN RTD & 
             MOTORISED VALVES FUNCTIONALITY - MAINTENANCE TEAM  
           - REINSTALL SAFETY VALVE ON BOTH COND. & EVAP - DAITO
           - CONTIUNE PAINTING ON BOTH COND. & EVAP. WATER BOX - DAITO
           - REPLACE BOTH COND. & EVAP. WATER BOX GASKET - DAITO
           - COVER BACK WATER BOX AFTER MR.TEO INSPECTION - DAITO
           - TRANSFER CHILLED WATER BACK TO EVAPORATOR WATER BOX - MAINTENANCE TEAM 
           - OPEN ALL CHILLED & COOLING WATER VALVE & PURGE AIR ON INSTRUMENT - OPERATION TEAM
           - TURN ON ALL ELECTRICAL BREAKER, RELEASE E-STOP - MAINTENANCE TEAM
           - HANDOVER BACK TO OPERATION FOR PRE-COMMISSIONING & STARTUP."
2240,DCP2 WC5 ANNUAL SHUTDOWN,TASK,"ANNUAL MAINTENANCE WORK BASED ON TASK LIST PROVIDED.
           - DRAIN OUT CONDENSER WATER BOX - OPERATION TEAM
16/06/14   - RECOVER CHILLED WATER TRANSFER TO EXTERNAL TANK - MAINTENANCE TEAM
  TO       - OPEN BOTH EVAP. & COND. WATER BOX, JOIN INSPECTION - DAITO 
20/06/14   - CLEAN BOTH COOLING & CHILLED WATER STRAINER - OPERATION TEAM 
           - REPLACED REFRIGERANT FILTER/DRYER - DAITO
           - REMOVE BOTH COND. & EVAP. SAFETY VALVES.SEND FOR CALIBRATION - DAITO
           - PUMP/MOTOR SERVICE & CLEANING,GREASING, LUBICATION ON MECHANICAL - MAINTENANCE TEAM
           - ELECTRICAL SERVICE ON ALL RELATED PUMPS' VSD AND AUTOTRANS PANELS - MAINTENANCE TEAM
           - WCP & WCDP MOTOR TERMINAL CHECK & SERVICE ON ELECTRICAL & 
             MEGGER STATOR COILS - MAINTENANCE TEAM
           - REPLACED OIL FILTER FOR COMPLESSORS - DAITO
           - DRAIN COMPRESSOR OIL (JOMO FREOL) : 100 LITRES FOR COMPRESSORS 1 & 2
             TOP UP COMPRESSOR OIL (JOMO FREOL)  : 100 LITRES FOR COMPRESSORS 1 & 2 
           - DERUST BOTH COND. & EVAP. WATER BOX & PAINTING - DAITO
           - OPEN COMPRESSORS' MOTOR TERMINAL COVERS FOR INSPECTION - DAITO
           - ELECTRICAL SERVICES & MEGGER TEST ON COMPRESSORS - MAINTENANCE TEAM
           - VERIFY OF LOCAL PG & TG - MAINTENANCE TEAM 
           - VERIFY OF REFRIGERANT GAUGE & PROTECTIVE RELAY DEVICES - DAITO 
           - PAINTING ON BOTH COND. & EVAP. WATER BOX - DAITO
           - VERIFY ALL RELATED CHILLED WATER SUPPLY & RETURN RTD & 
             MOTORISED VALVES FUNCTIONALITY - MAINTENANCE TEAM  
           - REINSTALL SAFETY VALVE ON BOTH COND. & EVAP - DAITO
           - CONTIUNE PAINTING ON BOTH COND. & EVAP. WATER BOX - DAITO
           - REPLACE BOTH COND. & EVAP. WATER BOX GASKET - DAITO
           - COVER BACK WATER BOX AFTER MR.TEO INSPECTION - DAITO
           - TRANSFER CHILLED WATER BACK TO EVAPORATOR WATER BOX - MAINTENANCE TEAM 
           - OPEN ALL CHILLED & COOLING WATER VALVE & PURGE AIR ON INSTRUMENT - OPERATION TEAM
           - TURN ON ALL ELECTRICAL BREAKER, RELEASE E-STOP - MAINTENANCE TEAM
           - HANDOVER BACK TO OPERATION FOR PRE-COMMISSIONING & STARTUP."
2241,DCP2 WC6 ANNUAL SHUTDOWN,TASK,"ANNUAL MAINTENANCE WORK BASED ON TASK LIST PROVIDED.
           - DRAIN OUT CONDENSER WATER BOX - OPERATION TEAM
23/06/14   - RECOVER CHILLED WATER TRANSFER TO EXTERNAL TANK - MAINTENANCE TEAM
  TO       - OPEN BOTH EVAP. & COND. WATER BOX, JOIN INSPECTION - DAITO 
27/06/14   - CLEAN BOTH COOLING & CHILLED WATER STRAINER - OPERATION TEAM 
           - REPLACED REFRIGERANT FILTER/DRYER - DAITO
           - REMOVE BOTH COND. & EVAP. SAFETY VALVES.SEND FOR CALIBRATION - DAITO
           - PUMP/MOTOR SERVICE & CLEANING,GREASING, LUBICATION ON MECHANICAL - MAINTENANCE TEAM
           - ELECTRICAL SERVICE ON ALL RELATED PUMPS' VSD AND AUTOTRANS PANELS - MAINTENANCE TEAM
           - WCP & WCDP MOTOR TERMINAL CHECK & SERVICE ON ELECTRICAL & 
             MEGGER STATOR COILS - MAINTENANCE TEAM
           - REPLACED OIL FILTER FOR COMPLESSORS - DAITO
           - DRAIN COMPRESSOR OIL (JOMO FREOL) : 100 LITRES FOR COMPRESSORS 1 & 2
             TOP UP COMPRESSOR OIL (JOMO FREOL)  : 100 LITRES FOR COMPRESSORS 1 & 2 
           - DERUST BOTH COND. & EVAP. WATER BOX & PAINTING - DAITO
           - OPEN COMPRESSORS' MOTOR TERMINAL COVERS FOR INSPECTION - DAITO
           - ELECTRICAL SERVICES & MEGGER TEST ON COMPRESSORS - MAINTENANCE TEAM
           - VERIFY OF LOCAL PG & TG - MAINTENANCE TEAM 
           - VERIFY OF REFRIGERANT GAUGE & PROTECTIVE RELAY DEVICES - DAITO 
           - PAINTING ON BOTH COND. & EVAP. WATER BOX - DAITO
           - VERIFY ALL RELATED CHILLED WATER SUPPLY & RETURN RTD & 
             MOTORISED VALVES FUNCTIONALITY - MAINTENANCE TEAM  
           - REINSTALL SAFETY VALVE ON BOTH COND. & EVAP - DAITO
           - CONTIUNE PAINTING ON BOTH COND. & EVAP. WATER BOX - DAITO
           - REPLACE BOTH COND. & EVAP. WATER BOX GASKET - DAITO
           - COVER BACK WATER BOX AFTER MR.TEO INSPECTION - DAITO
           - TRANSFER CHILLED WATER BACK TO EVAPORATOR WATER BOX - MAINTENANCE TEAM 
           - OPEN ALL CHILLED & COOLING WATER VALVE & PURGE AIR ON INSTRUMENT - OPERATION TEAM
           - TURN ON ALL ELECTRICAL BREAKER, RELEASE E-STOP - MAINTENANCE TEAM
           - HANDOVER BACK TO OPERATION FOR PRE-COMMISSIONING & STARTUP."
